,P-value
0.001,1.144645956176414e-10
0.001122018454301963,6.227507137582606e-10
0.0012589254117941675,8.254264967130502e-09
0.001412537544622754,5.180050736554293e-08
0.001584893192461114,2.5302400592838484e-07
0.0017782794100389228,1.1562525387828004e-06
0.001995262314968879,2.2632779469012967e-06
0.00223872113856834,5.299701057865899e-06
0.0025118864315095794,9.264022236468983e-06
0.002818382931264455,1.4681872273244227e-05
0.0031622776601683794,3.996758810479247e-05
0.0035481338923357532,6.97343087103311e-05
0.003981071705534973,8.926253415363904e-05
0.0044668359215096305,0.00016814290390026863
0.005011872336272725,0.0002997615698350974
0.005623413251903491,0.0004417241387029711
0.00630957344480193,0.0006915147408564278
0.00707945784384138,0.0009756119205487256
0.007943282347242814,0.0013008909682371886
0.008912509381337459,0.001658311295870332
0.01,0.0022135268897371173
