,Frac Reads,Worst Reads,OTUs
0.0,1.0,0.9999999999999987,441.0
0.05,0.9880378422590118,0.9131327319944745,228.0
0.1,0.9769879617556972,0.9075462020141699,177.0
0.15,0.961434746009271,0.765428007774918,136.0
0.2,0.9372593317605583,0.5787085184020715,107.0
0.25,0.9135207443560347,0.45317626163144764,88.0
0.3,0.9073804156364644,0.45173475267342234,82.0
0.35,0.8860890947571627,0.4363586571211526,68.0
0.4,0.8591813193703024,0.37181876502551864,56.0
0.45,0.8447721065645941,0.37181876502551864,52.0
0.5,0.8185429179432668,0.36800323574735977,45.0
0.55,0.792243170611954,0.35302294042786014,41.0
0.6,0.7815229024014471,0.3516476585341258,39.0
0.65,0.6790908885201875,0.3112645887910075,30.0
0.7,0.6274053447646528,0.3066574590473083,28.0
0.75,0.5510824849719133,0.27444033842842697,23.0
0.8,0.5466757393603268,0.27317738350797416,22.0
0.85,0.5301924725749863,0.2685137097421075,19.0
0.9,0.4686099229822067,0.23657245831045368,14.0
0.95,0.33075628743474367,0.07082860718384387,9.0
1.0,0.0,0.0,0.0
